# Number of Traces
8985
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 9.44845451e-01; 3.97670313e-01; 1.11510300e-01; 7.83022855e-01; 8.03834926e-01; 6.00349767e-01
1; 0; 2; 5.20338111e-01; 5.20373537e-01; 7.15753644e-01; 5.56407676e-01; 4.01587649e-01; 5.86471273e-01
2; 0; 3; 8.49274654e-01; 2.36167227e-01; 1.11510300e-01; 4.13246632e-01; 3.39401890e-01; 7.15753644e-01
3; 0; 7; 7.64947206e-01; 9.36640407e-02; 1.11510300e-01; 7.07424587e-01; 1.02266751e-01; 1.87616369e-01
4; 0; 8; 1.10562965e+00; 6.69376156e-01; 1.11510300e-01; 1.21749170e+00; 1.09085736e+00; 2.78704929e-01
5; 0; 9; 9.66905805e-01; 4.34949644e-01; 1.11510300e-01; 8.62434758e-01; 1.00738875e+00; 6.50236959e-01
6; 0; 10; 5.13168627e-01; 2.17219334e-01; 5.06415954e-01; 9.41374015e-01; 5.58111373e-01; 2.31131527e-01
7; 0; 12; 8.28101994e-01; 2.00387994e-01; 1.11510300e-01; 5.46687157e-01; 2.45045046e-01; 4.85688844e-01
8; 0; 14; 7.99890632e-01; 9.92783482e-01; 7.15753644e-01; 9.64836485e-01; 8.11781403e-01; 3.85072335e-01
9; 0; 16; 4.80136408e-01; 4.52437521e-01; 7.15753644e-01; 4.85825498e-01; 2.33399858e-01; 5.51289625e-01
10; 0; 18; 9.73969269e-01; 4.46886044e-01; 1.11510300e-01; 1.01619017e+00; 6.20736382e-01; 1.85237823e-01
11; 0; 19; 1.06801731e+00; 7.19103318e-01; 1.92995478e-01; 1.15959416e+00; 1.05924306e+00; 3.26339509e-01
12; 0; 20; 7.57069575e-01; 9.20421075e-01; 7.15753644e-01; 4.30400764e-01; 2.66197906e-01; 6.42248905e-01
13; 0; 22; 7.13725141e-01; 9.85383453e-02; 1.77276331e-01; 7.97380522e-01; 4.83668341e-01; 3.52609348e-01
14; 0; 23; 9.78277920e-01; 4.54167143e-01; 1.11510300e-01; 5.92086478e-01; 1.70519038e-01; 3.76901379e-01
15; 0; 25; 7.38018497e-01; 8.88227058e-01; 7.15753644e-01; 6.14007865e-01; 2.53943556e-01; 4.10261511e-01
16; 0; 26; 4.12147756e-01; 3.37544923e-01; 7.15753644e-01; 1.21676626e+00; 1.05782593e+00; 2.55827919e-01
17; 0; 27; 5.47915435e-01; 1.96657620e-01; 4.49391871e-01; 6.23993636e-01; 2.70953366e-01; 4.10358660e-01
18; 0; 28; 7.94511190e-01; 1.43623597e-01; 1.11510300e-01; 4.22607103e-01; 3.55219955e-01; 7.15753644e-01
19; 0; 30; 5.74036502e-01; 6.11117321e-01; 7.15753644e-01; 1.04750538e+00; 5.96170888e-01; 1.29504987e-01
20; 0; 34; 6.79372355e-01; 1.18866893e-01; 2.33653772e-01; 7.36292011e-01; 1.03464189e-01; 1.53389514e-01
21; 0; 36; 7.44688041e-01; 8.02157913e-02; 1.26462139e-01; 7.52776192e-01; 5.60813502e-01; 4.62314407e-01
22; 0; 38; 1.06815085e+00; 1.17923105e+00; 5.23792903e-01; 7.61480858e-01; 9.27875610e-01; 7.15753644e-01
23; 0; 40; 6.47892275e-01; 1.37495492e-01; 2.85316724e-01; 8.36653277e-01; 5.31548890e-01; 3.39313022e-01
24; 0; 41; 4.95022991e-01; 2.27957165e-01; 5.36195329e-01; 4.62908549e-01; 3.53275085e-01; 6.65368624e-01
25; 0; 42; 7.25789569e-01; 8.67561649e-01; 7.15753644e-01; 9.88428829e-01; 8.89280764e-01; 4.12139596e-01
26; 0; 45; 4.98586742e-01; 4.83616353e-01; 7.15753644e-01; 4.60738000e-01; 2.63319440e-01; 6.03303795e-01
27; 0; 46; 4.59210082e-01; 4.17074561e-01; 7.15753644e-01; 6.73212811e-01; 3.65490693e-01; 4.18531725e-01
28; 0; 47; 8.31240252e-01; 2.05691269e-01; 1.11510300e-01; 9.66896383e-01; 7.70370104e-01; 3.52782307e-01
29; 0; 49; 8.91159986e-01; 3.06948371e-01; 1.11510300e-01; 6.20090438e-01; 6.88942903e-01; 7.15753644e-01
30; 0; 51; 7.52434177e-01; 7.56319511e-02; 1.13749712e-01; 1.30570081e+00; 1.01403844e+00; 1.16233231e-01
