# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
0; false; 6.7471443493720973e-01
6; true; 6.0955246724863787e-01
5; true; 4.8118971767339030e-01
1; true; 4.2680143969791606e-01
4; true; 4.2160911792667893e-01
3; true; 3.9439852449745560e-01
2; true; 1.4605310396686275e-01


# FractureId; NumTraces
1; 29
# TraceId; Tips; Length
25; false; 9.0393217642189116e-01
28; false; 6.2866540477648303e-01
17; false; 3.8492992607914428e-01
34; false; 2.9093410816150733e-01
14; false; 1.5575395183890220e-01
23; false; 1.4004828748305068e-01
9; true; 9.3741389718636914e-01
29; true; 9.3360668860935192e-01
32; true; 9.2452310713592967e-01
26; true; 8.8368803295815745e-01
30; true; 8.0266857324260243e-01
7; true; 6.9334901823859363e-01
31; true; 6.7416314645497488e-01
20; true; 6.2264135513784147e-01
15; true; 5.0797391303725326e-01
16; true; 4.6385210114130870e-01
12; true; 4.1882175187814547e-01
11; true; 3.6286845226982550e-01
10; true; 3.6084402598645332e-01
35; true; 3.3268441455391085e-01
19; true; 3.0318395293005934e-01
22; true; 2.7949254124386452e-01
8; true; 2.5690210536291525e-01
24; true; 2.1802353766625066e-01
27; true; 1.4498749477242048e-01
33; true; 1.3793889888406113e-01
18; true; 1.2447664614277415e-01
21; true; 3.2205721229195697e-02
13; true; 1.1440457748452860e-02


# FractureId; NumTraces
2; 6
# TraceId; Tips; Length
36; true; 6.9672839998550418e-01
0; true; 6.7471443493720973e-01
38; true; 5.2300954394792043e-01
39; true; 4.6934874617055472e-01
40; true; 3.7954758490435386e-01
37; true; 1.7440624831934881e-01


# FractureId; NumTraces
3; 29
# TraceId; Tips; Length
66; false; 6.5944790181641155e-01
64; false; 6.3129751615244645e-01
53; false; 6.3045861598887976e-01
45; false; 5.7390811464565517e-01
48; false; 3.2597142212739499e-01
59; false; 2.4769903947436214e-01
44; false; 1.8996706192210300e-01
41; false; 1.7285713851104598e-01
7; true; 6.9334901823859363e-01
52; true; 6.4841762967191341e-01
57; true; 6.4832288190895948e-01
65; true; 6.2336405286413055e-01
58; true; 5.9895445080443532e-01
62; true; 5.7553208173634163e-01
42; true; 5.3982200587684581e-01
43; true; 5.0269084482302495e-01
67; true; 4.8786620638736755e-01
50; true; 3.6637188742059468e-01
60; true; 3.5306434734383674e-01
47; true; 3.1618758581756456e-01
56; true; 3.1062652326103490e-01
54; true; 3.0678991271705097e-01
63; true; 2.9816793324690516e-01
61; true; 2.8873677541999332e-01
51; true; 2.8604972919225741e-01
46; true; 2.1108417996010398e-01
49; true; 2.0628574193534777e-01
55; true; 1.1323699097574400e-01
68; true; 2.5581278438587013e-02


# FractureId; NumTraces
4; 23
# TraceId; Tips; Length
8; false; 2.5690210536291525e-01
81; false; 8.7741980933355013e-01
70; false; 5.1344459412478012e-02
86; true; 8.9560207437027972e-01
89; true; 7.0160779672323137e-01
82; true; 6.5083394501699043e-01
80; true; 6.3069832728828168e-01
87; true; 6.2687452207338412e-01
90; true; 5.8102259934463407e-01
88; true; 5.2789646453839512e-01
73; true; 5.2753809088190018e-01
75; true; 5.2284873226797357e-01
